"Atividade";"Template";"Variavel";"Tipo_Variavel";;;;;;
"Validate request";"The request PROC.2026.00012866 was validated on the basis of the submitted administrative elements. The information available in the case is sufficient to continue the workflow, allowing the process to proceed to budget checking without requiring additional clarification from the requester at this stage.";"PROC.2026.00012866";"process_id";;;;;;
"Check budget";"Budget availability was confirmed for process PROC.2026.00012866, in the amount of 5.603,75€, under budget record BUD.2026.00012827. The financial information was checked against the registered request, and no budgetary obstacle was identified for continuing the authorization and commitment stages.";"5603,75 €";"amount";"BUD.2026.00012827";"budget_id";"PROC.2026.00012866";"process_id";;
"Authorize expense";"Expense authorization is granted for process PROC.2026.00012866, corresponding to the amount of 5.603,75€. The decision is supported by the previously validated information and by the applicable legal reference DL 18/2008, allowing the financial commitment to be generated.";"5603,75 €";"amount";"DL 18/2008";"legal_ref";"PROC.2026.00012866";"process_id";;
"Commit expense";"Commitment COM.2026.00012853 was generated for process PROC.2026.00012866, in the amount of 5.603,75€. The commitment records the authorized expenditure in the financial system and confirms that the process has the necessary budgetary support to proceed to the order or contract stage.";"5603,75 €";"amount";"COM.2026.00012853";"commitment_id";"PROC.2026.00012866";"process_id";;
"Issue order";"Order ORD.2026.00012810 was issued for process PROC.2026.00012866. The order document reflects the validated request, the authorized expenditure, and the recorded financial commitment, and it is now available to support communication with the requester and the completion of the procurement procedure.";"ORD.2026.00012810";"order_id";"PROC.2026.00012866";"process_id";;;;
"Notify requester";"Requester Alice Martins was notified about the outcome of process PROC.2026.00012866. The communication includes the relevant administrative information and confirms that the preceding validation, authorization, commitment, and order activities have been completed, allowing the process to move toward closure.";"PROC.2026.00012866";"process_id";"Alice Martins";"requester";;;;
"Close";"Administrative closure was recorded for process PROC.2026.00012866. The case has completed the prescribed sequence of validation, budget verification, authorization, commitment, order issuing, and notification, and it is now considered finalized for operational and reporting purposes.";"PROC.2026.00012866";"process_id";;;;;;
"Register request";"Request PROC.2026.00012935 was registered by Clara Reis for project Digital Campus, with an estimated amount of 1.292,75€. The case was opened with the available administrative information, assigned to the competent service, and prepared for subsequent validation of documents, budget information, and process eligibility.";"1292,75 €";"amount";"PROC.2026.00012935";"process_id";"Digital Campus";"project";"Clara Reis";"requester"
"Validate request";"The request PROC.2026.00012935 was validated on the basis of the submitted administrative elements. The information available in the case is sufficient to continue the workflow, allowing the process to proceed to budget checking without requiring additional clarification from the requester at this stage.";"PROC.2026.00012935";"process_id";;;;;;
"Check budget";"Budget availability was confirmed for process PROC.2026.00012935, in the amount of 1.292,75€, under budget record BUD.2026.00012988. The financial information was checked against the registered request, and no budgetary obstacle was identified for continuing the authorization and commitment stages.";"1292,75 €";"amount";"BUD.2026.00012988";"budget_id";"PROC.2026.00012935";"process_id";;
"Authorize expense";"I authorize the expense for process PROC.2026.00012935, in the amount of 1.292,75€, under the applicable reference DL 18/2008. The authorization is issued after validation of the administrative and budgetary elements, enabling the process to continue to the commitment stage.";"1292,75 €";"amount";"DL 18/2008";"legal_ref";"PROC.2026.00012935";"process_id";;
